ax(g);ay(g);az(g);accRMS(g);time(s)
-0.1565;-0.0452;0.9753;0.9888;0.0000
-0.1565;-0.0454;0.9739;0.9874;0.5037
-0.1558;-0.0457;0.9749;0.9883;0.7554
-0.1565;-0.0459;0.9729;0.9865;1.0070
-0.1571;-0.0449;0.9756;0.9892;1.2588
-0.1566;-0.0459;0.9731;0.9867;1.5108
-0.1569;-0.0457;0.9746;0.9882;1.7926
-0.1564;-0.0452;0.9738;0.9873;2.0447
-0.1565;-0.0448;0.9736;0.9871;2.2967
-0.1571;-0.0458;0.9734;0.9870;2.5488
-0.1571;-0.0454;0.9733;0.9869;2.8008
-0.1562;-0.0458;0.9734;0.9869;3.0528
-0.1569;-0.0458;0.9750;0.9886;3.3048
-0.1565;-0.0450;0.9735;0.9870;3.5566
-0.1567;-0.0452;0.9740;0.9876;3.8087
-0.1576;-0.0454;0.9747;0.9884;4.0607
-0.1578;-0.0449;0.9727;0.9864;4.3125
-0.1561;-0.0449;0.9750;0.9884;4.5644
-0.1570;-0.0454;0.9736;0.9873;4.8161
-0.1562;-0.0457;0.9735;0.9870;5.0680
-0.1565;-0.0452;0.9744;0.9879;5.3200
-0.1572;-0.0455;0.9736;0.9873;5.5719
-0.1566;-0.0446;0.9731;0.9867;5.8237
-0.1559;-0.0460;0.9744;0.9878;6.0754
-0.1565;-0.0461;0.9750;0.9885;6.3274
-0.1572;-0.0449;0.9723;0.9859;6.5795
-0.1559;-0.0452;0.9751;0.9885;6.8406
-0.1566;-0.0455;0.9745;0.9880;7.0928
-0.1567;-0.0447;0.9731;0.9867;7.3452
-0.1572;-0.0453;0.9741;0.9878;7.5974
-0.1570;-0.0455;0.9734;0.9870;7.8500
-0.1564;-0.0453;0.9730;0.9865;8.1022
-0.1567;-0.0457;0.9744;0.9879;8.3540
-0.1573;-0.0455;0.9728;0.9865;8.6056
-0.1555;-0.0457;0.9730;0.9864;8.8575
-0.1571;-0.0458;0.9729;0.9866;9.1095
-0.1565;-0.0448;0.9719;0.9855;9.3614
-0.1573;-0.0459;0.9766;0.9902;9.6131
-0.1573;-0.0457;0.9740;0.9877;9.8647
-0.1572;-0.0455;0.9739;0.9875;10.1164
-0.1576;-0.0448;0.9741;0.9878;10.3681
-0.1558;-0.0454;0.9755;0.9889;10.6197
-0.1571;-0.0461;0.9733;0.9869;10.8715
-0.1562;-0.0459;0.9739;0.9874;11.1235
-0.1566;-0.0450;0.9728;0.9863;11.3754
-0.1572;-0.0452;0.9750;0.9886;11.6274
-0.1562;-0.0448;0.9727;0.9861;11.8793
-0.1558;-0.0446;0.9741;0.9875;12.1313
-0.1567;-0.0454;0.9731;0.9867;12.3829
-0.1559;-0.0449;0.9730;0.9865;12.6348
-0.1572;-0.0460;0.9729;0.9866;12.8867
-0.1564;-0.0457;0.9740;0.9875;13.1387
-0.1570;-0.0463;0.9750;0.9886;13.3906
-0.1565;-0.0446;0.9734;0.9869;13.6426
-0.1562;-0.0464;0.9756;0.9891;13.8945
-0.1565;-0.0457;0.9739;0.9874;14.1466
-0.1581;-0.0452;0.9745;0.9883;14.3985
-0.1575;-0.0461;0.9734;0.9871;14.6505
-0.1564;-0.0460;0.9747;0.9883;14.9024
-0.1558;-0.0452;0.9751;0.9885;15.1542
-0.1565;-0.0459;0.9749;0.9884;15.4061
-0.1569;-0.0471;0.9731;0.9868;15.6582
-0.1565;-0.0461;0.9747;0.9883;15.9101
-0.1570;-0.0452;0.9745;0.9881;16.1621
-0.1578;-0.0457;0.9739;0.9876;16.4140
-0.1572;-0.0459;0.9736;0.9873;16.6660
-0.1573;-0.0447;0.9744;0.9880;16.9179
-0.1566;-0.0450;0.9749;0.9884;17.1809
-0.1565;-0.0448;0.9739;0.9874;17.4327
-0.1571;-0.0459;0.9734;0.9871;17.6846
-0.1576;-0.0450;0.9749;0.9885;17.9366
-0.1571;-0.0460;0.9753;0.9890;18.1886
-0.1567;-0.0466;0.9745;0.9881;18.4406
-0.1567;-0.0461;0.9730;0.9866;18.6924
-0.1570;-0.0455;0.9736;0.9873;18.9442
-0.1561;-0.0455;0.9749;0.9883;19.1959
-0.1566;-0.0455;0.9730;0.9866;19.4476
-0.1572;-0.0457;0.9739;0.9875;19.6993
-0.1569;-0.0457;0.9735;0.9871;19.9509
-0.1572;-0.0458;0.9741;0.9878;20.2028
-0.1570;-0.0455;0.9749;0.9885;20.4548
-0.1565;-0.0461;0.9749;0.9884;20.7068
-0.1566;-0.0449;0.9738;0.9873;20.9588
-0.1560;-0.0461;0.9736;0.9871;21.2108
-0.1569;-0.0453;0.9740;0.9876;21.4629
-0.1564;-0.0452;0.9739;0.9874;21.7148
-0.1564;-0.0457;0.9736;0.9872;21.9665
-0.1566;-0.0459;0.9744;0.9879;22.2187
-0.1571;-0.0460;0.9742;0.9879;22.4706
-0.1564;-0.0454;0.9735;0.9870;22.7226
-0.1572;-0.0458;0.9735;0.9872;22.9746
-0.1559;-0.0453;0.9730;0.9865;23.2266
-0.1562;-0.0459;0.9745;0.9880;23.4785
-0.1564;-0.0453;0.9741;0.9876;23.7305
-0.1561;-0.0459;0.9740;0.9875;23.9825
-0.1564;-0.0457;0.9734;0.9869;24.2344
-0.1566;-0.0453;0.9739;0.9874;24.4865
-0.1562;-0.0457;0.9723;0.9858;24.7384
-0.1566;-0.0450;0.9727;0.9862;24.9903
-0.1565;-0.0460;0.9736;0.9872;25.2421
-0.1567;-0.0452;0.9731;0.9867;25.4938
-0.1567;-0.0457;0.9739;0.9875;25.7455
-0.1560;-0.0450;0.9738;0.9872;25.9972
-0.1567;-0.0452;0.9739;0.9874;26.2489
-0.1567;-0.0457;0.9736;0.9872;26.5006
-0.1575;-0.0459;0.9739;0.9876;26.7524
-0.1566;-0.0439;0.9722;0.9857;27.0043
-0.1567;-0.0457;0.9749;0.9884;27.2562
-0.1564;-0.0454;0.9730;0.9866;27.5083
-0.1567;-0.0453;0.9742;0.9878;27.7606
-0.1570;-0.0454;0.9746;0.9882;28.0125
-0.1570;-0.0458;0.9719;0.9856;28.2646
-0.1567;-0.0452;0.9746;0.9882;28.5167
-0.1567;-0.0452;0.9740;0.9876;28.7687
-0.1562;-0.0457;0.9734;0.9869;29.0207
-0.1566;-0.0448;0.9742;0.9878;29.2726
-0.1571;-0.0452;0.9736;0.9873;29.5245
-0.1573;-0.0464;0.9727;0.9864;29.7763
-0.1565;-0.0449;0.9749;0.9884;30.0280
-0.1570;-0.0457;0.9727;0.9863;30.2798
-0.1564;-0.0460;0.9731;0.9867;30.5318
-0.1578;-0.0448;0.9722;0.9859;30.7838
-0.1575;-0.0460;0.9738;0.9875;31.0357
-0.1562;-0.0466;0.9760;0.9895;31.2877
-0.1575;-0.0455;0.9758;0.9895;31.5397
-0.1576;-0.0454;0.9745;0.9882;31.7917
-0.1569;-0.0452;0.9742;0.9878;32.0439
-0.1560;-0.0453;0.9734;0.9869;32.2957
-0.1580;-0.0459;0.9745;0.9883;32.5474
-0.1561;-0.0464;0.9738;0.9873;32.8388
-0.1572;-0.0442;0.9742;0.9878;33.0909
-0.1573;-0.0452;0.9736;0.9873;33.3428
-0.1571;-0.0454;0.9739;0.9875;33.5948
-0.1556;-0.0453;0.9741;0.9875;33.8469
-0.1572;-0.0459;0.9741;0.9878;34.0989
-0.1562;-0.0464;0.9747;0.9883;34.3518
