ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0027;-0.0063;0.0112;0.0132;0.0000
0.0017;0.0034;0.0039;0.0055;0.0024
0.0007;0.0017;-0.0068;0.0071;0.0039
0.0002;0.0000;-0.0024;0.0025;0.0052
0.0071;0.0056;-0.0002;0.0090;0.0064
0.0007;0.0020;0.0005;0.0021;0.0077
-0.0015;0.0049;0.0059;0.0078;0.0089
0.0032;-0.0012;0.0056;0.0066;0.0103
0.0034;0.0000;-0.0002;0.0034;0.0115
0.0005;0.0032;-0.0020;0.0038;0.0130
0.0034;0.0007;-0.0005;0.0035;0.0144
0.0042;0.0005;-0.0054;0.0068;0.0156
-0.0027;-0.0007;-0.0039;0.0048;0.0169
-0.0085;0.0049;0.0076;0.0124;0.0187
-0.0037;0.0010;0.0020;0.0043;0.0199
-0.0024;0.0034;-0.0024;0.0049;0.0212
-0.0027;0.0056;0.0061;0.0087;0.0224
-0.0022;0.0000;0.0088;0.0091;0.0236
-0.0007;-0.0005;-0.0017;0.0019;0.0249
0.0000;0.0042;0.0002;0.0042;0.0264
-0.0007;0.0051;0.0076;0.0092;0.0278
0.0042;0.0027;0.0042;0.0065;0.0295
-0.0056;0.0012;-0.0022;0.0062;0.0307
-0.0015;-0.0039;0.0068;0.0080;0.0319
0.0027;-0.0010;0.0081;0.0085;0.0331
-0.0005;0.0010;0.0061;0.0062;0.0343
-0.0024;0.0007;0.0054;0.0059;0.0353
0.0007;-0.0007;-0.0010;0.0014;0.0362
-0.0012;0.0012;-0.0024;0.0030;0.0370
-0.0002;0.0037;0.0015;0.0040;0.0379
-0.0010;0.0051;0.0029;0.0060;0.0388
0.0049;0.0042;-0.0049;0.0081;0.0397
0.0027;-0.0020;-0.0007;0.0034;0.0405
0.0010;-0.0034;-0.0105;0.0111;0.0415
-0.0022;-0.0024;-0.0039;0.0051;0.0427
-0.0054;-0.0044;0.0071;0.0099;0.0436
-0.0029;-0.0010;-0.0020;0.0037;0.0445
-0.0007;0.0015;-0.0007;0.0018;0.0462
-0.0005;0.0037;0.0020;0.0042;0.0471
-0.0061;0.0032;0.0029;0.0075;0.0479
-0.0049;0.0002;0.0017;0.0052;0.0488
-0.0002;-0.0056;0.0081;0.0098;0.0497
0.0012;-0.0027;-0.0007;0.0030;0.0506
0.0027;-0.0020;0.0007;0.0034;0.0515
0.0000;-0.0007;0.0049;0.0049;0.0526
-0.0005;-0.0032;0.0054;0.0063;0.0538
-0.0059;0.0002;0.0000;0.0059;0.0551
-0.0046;0.0012;-0.0024;0.0054;0.0563
-0.0005;0.0049;0.0022;0.0054;0.0573
-0.0020;0.0051;0.0002;0.0055;0.0584
0.0039;0.0034;-0.0120;0.0130;0.0593
0.0049;0.0007;0.0022;0.0054;0.0602
