ax(g);ay(g);az(g);accRMS(g);time(s)
0.0785;-0.0518;-0.0006;0.0940;31.2618
0.0011;0.0094;0.0043;0.0104;31.2634
0.0004;0.0098;0.0045;0.0108;31.2648
0.0001;0.0096;0.0007;0.0097;31.2661
0.0002;0.0096;-0.0005;0.0097;31.2674
0.0004;0.0092;-0.0009;0.0092;31.2688
0.0013;0.0074;-0.0024;0.0080;31.2701
0.0002;0.0067;-0.0026;0.0072;31.2715
-0.0004;0.0070;-0.0002;0.0070;31.2729
-0.0001;0.0061;0.0015;0.0063;31.2744
0.0000;0.0048;0.0029;0.0056;31.2758
0.0015;0.0048;0.0028;0.0057;31.2771
0.0028;0.0059;0.0028;0.0071;31.2785
0.0029;0.0070;0.0035;0.0083;31.2798
0.0010;0.0067;0.0035;0.0077;31.2812
0.0002;0.0063;0.0026;0.0069;31.2825
-0.0001;0.0066;0.0022;0.0069;31.2838
-0.0001;0.0078;0.0010;0.0079;31.2851
-0.0004;0.0076;-0.0006;0.0076;31.2865
0.0000;0.0077;-0.0022;0.0080;31.2878
0.0001;0.0079;-0.0007;0.0080;31.2894
-0.0001;0.0089;0.0000;0.0089;31.2908
-0.0011;0.0099;0.0015;0.0101;31.2922
-0.0007;0.0099;0.0028;0.0103;31.2936
-0.0001;0.0100;0.0039;0.0107;31.2950
0.0007;0.0093;0.0034;0.0099;31.2965
0.0010;0.0081;0.0016;0.0083;31.2980
0.0002;0.0079;0.0018;0.0081;31.2995
-0.0017;0.0065;0.0028;0.0073;31.3009
-0.0016;0.0060;0.0027;0.0067;31.3023
-0.0005;0.0059;0.0016;0.0061;31.3037
0.0023;0.0054;-0.0001;0.0059;31.3052
0.0034;0.0054;0.0000;0.0064;31.3066
0.0032;0.0063;0.0011;0.0072;31.3082
0.0026;0.0052;0.0013;0.0060;31.3096
0.0020;0.0065;0.0028;0.0073;31.3111
0.0021;0.0067;0.0022;0.0074;31.3125
0.0012;0.0074;0.0005;0.0076;31.3139
-0.0012;0.0094;0.0023;0.0098;31.3153
-0.0065;0.0206;0.0070;0.0227;31.3168
-0.0156;0.0533;0.0171;0.0582;31.3183
-0.0082;0.0439;0.0142;0.0469;31.3198
0.0083;-0.0131;-0.0067;0.0169;31.3213
0.0144;-0.0385;-0.0172;0.0445;31.3227
0.0229;-0.0737;-0.0320;0.0836;31.3241
0.0242;-0.0825;-0.0291;0.0908;31.3256
-0.0077;0.0021;0.0237;0.0250;31.3269
-0.0140;0.0659;-0.0009;0.0674;31.3284
-0.0123;0.0991;-0.0048;0.1000;31.3298
-0.0076;0.0345;0.0116;0.0372;31.3312
0.0011;-0.0081;-0.0001;0.0081;31.3326
-0.0007;-0.0092;0.0013;0.0093;31.3340
-0.0051;0.0195;0.0006;0.0202;31.3354
-0.0052;0.0192;-0.0017;0.0199;31.3368
-0.0015;0.0005;-0.0026;0.0030;31.3383
-0.0026;0.0111;-0.0020;0.0116;31.3398
-0.0009;0.0026;0.0002;0.0027;31.3412
0.0001;0.0038;0.0005;0.0038;31.3426
-0.0009;0.0072;0.0002;0.0073;31.3441
-0.0010;0.0034;0.0004;0.0036;31.3455
-0.0012;0.0107;0.0020;0.0110;31.3469
-0.0002;0.0079;0.0024;0.0083;31.3485
-0.0023;0.0079;0.0005;0.0083;31.3545
-0.0016;0.0077;0.0007;0.0079;31.3561
-0.0017;0.0078;-0.0011;0.0081;31.3574
-0.0006;0.0065;-0.0017;0.0067;31.3589
0.0021;0.0046;0.0017;0.0054;31.3602
0.0015;0.0056;0.0032;0.0066;31.3615
-0.0002;0.0050;0.0045;0.0067;31.3629
-0.0005;0.0054;0.0042;0.0068;31.3643
0.0005;0.0068;0.0023;0.0072;31.3657
0.0018;0.0067;0.0010;0.0070;31.3673
0.0023;0.0082;0.0011;0.0086;31.3689
0.0026;0.0077;0.0010;0.0082;31.3703
0.0023;0.0077;0.0004;0.0080;31.3717
0.0010;0.0084;-0.0002;0.0085;31.3732
0.0004;0.0087;0.0009;0.0087;31.3748
