gx(degree/s);gy(degree/s);gz(degree/s);inclinacionX;inclinacionY;time(s)
-8.3664;26.5344;-51.0840;-8.4039;-7.1965;0.0452
-0.0611;0.0916;-11.9542;-58.6236;-27.7549;0.0478
-0.1069;0.0916;-4.7786;-55.9467;33.5280;0.0501
-0.0458;0.1832;-3.0687;-41.2798;21.0914;0.0526
0.0458;0.0000;-1.3893;-48.2292;28.1019;0.0553
-0.0305;0.0611;-0.8244;-49.1651;27.5398;0.0577
0.0916;0.1679;-0.3817;-78.6901;-0.0000;0.0603
0.0305;-0.0611;-0.2137;-27.9384;38.6598;0.0629
0.0153;-0.1221;-0.1832;-64.6079;-8.6597;0.0653
0.1221;-0.1527;-0.1679;-51.9595;-27.1270;0.0679
0.0611;-0.2290;-0.1069;-51.3053;-12.6804;0.0705
-0.0153;-0.1374;0.0000;-44.6379;-6.4548;0.0734
-0.0305;-0.0916;0.0153;-44.7106;-5.7682;0.0760
-0.0305;-0.0763;0.0153;-40.1530;3.3607;0.0787
0.0000;-0.0305;0.0458;12.3333;-14.1293;0.0810
-0.0305;-0.0611;0.0611;7.2779;-16.5608;0.0835
-0.0611;0.1832;0.0611;-37.9852;-37.9852;0.0859
-0.0763;0.1527;-0.0153;-28.4721;-10.9932;0.0882
0.0458;0.0153;0.0153;-76.7551;-11.8252;0.0906
0.0763;-0.1221;0.1221;-20.8329;-57.6348;0.0934
0.0153;0.0763;0.1679;-12.0888;9.6449;0.0961
0.0611;0.1679;0.1679;-25.9923;11.4905;0.0984
0.0763;0.0611;0.1832;-3.4891;-52.2936;0.1008
0.0611;0.1374;0.1374;3.9664;-56.1046;0.1032
0.0458;0.0458;0.1985;8.2718;-69.2532;0.1055
0.0611;-0.0916;-0.0611;2.6079;-30.0342;0.1079
0.1679;-0.0458;-0.0305;-38.1725;-24.3319;0.1103
0.0611;0.0000;0.0305;-59.5258;-26.9755;0.1130
0.0305;0.1832;0.0000;-12.2396;-72.5536;0.1156
0.2290;0.1985;0.0000;10.4418;-10.4418;0.1180
0.1679;0.0611;-0.0305;55.8772;-32.1529;0.1204
0.0763;0.0458;0.0153;6.0173;-18.3298;0.1233
-0.0153;0.1527;0.0305;30.9480;-11.1190;0.1259
-0.0458;0.2290;0.0458;24.7751;-20.4393;0.1283
-0.0763;0.1985;0.0611;51.1233;-33.0212;0.1306
-0.0763;0.1832;0.0305;22.9769;-29.2059;0.1332
-0.0916;0.1221;0.0458;-20.7882;-37.4756;0.1357
-0.0153;0.1069;0.1527;-22.5824;-25.5954;0.1379
-0.0153;0.0000;0.1374;-8.9849;-18.2008;0.1401
0.0000;0.0000;0.0763;14.0362;-75.9638;0.1426
0.0153;0.1985;0.0611;32.0432;-52.7344;0.1452
0.0611;0.0763;-0.0305;-6.2085;-66.8174;0.1474
0.1985;0.0763;-0.0153;9.9911;-3.3154;0.1496
0.0763;0.0458;0.0611;-47.3254;-26.1759;0.1521
-0.0153;0.0763;0.0763;-17.5484;17.5484;0.1547
-0.1374;0.2137;0.0000;19.4712;-41.8103;0.1621
-0.1832;0.1679;-0.0611;51.2971;31.3501;0.1653
-0.0763;0.0153;-0.0153;-44.6379;6.4548;0.1783
-0.0611;0.0763;-0.0153;6.3305;-3.1604;0.1810
-0.0916;0.0000;0.0000;-27.7958;-50.1801;0.1841
-0.1221;-0.0153;-0.0153;-57.6885;-30.4704;0.1870
