ax(g);ay(g);az(g);accRMS(g);time(s)
ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0193;-0.0400;0.9841;0.9851;0.0087
-0.0193;-0.0400;0.9841;0.9851;0.0096
-0.0205;-0.0419;0.9827;0.9838;0.0104
-0.0211;-0.0421;0.9840;0.9851;0.0112
-0.0217;-0.0427;0.9846;0.9858;0.0120
-0.0209;-0.0432;0.9830;0.9842;0.0128
-0.0209;-0.0432;0.9830;0.9842;0.0136
-0.0193;-0.0432;0.9813;0.9825;0.0143
-0.0188;-0.0419;0.9822;0.9832;0.0151
-0.0189;-0.0408;0.9832;0.9842;0.0158
-0.0189;-0.0408;0.9832;0.9842;0.0166
-0.0187;-0.0402;0.9829;0.9839;0.0173
-0.0189;-0.0399;0.9824;0.9834;0.0181
-0.0198;-0.0399;0.9821;0.9831;0.0188
-0.0198;-0.0399;0.9821;0.9831;0.0196
-0.0210;-0.0399;0.9822;0.9832;0.0204
-0.0223;-0.0404;0.9817;0.9828;0.0212
-0.0225;-0.0411;0.9817;0.9828;0.0219
-0.0222;-0.0419;0.9830;0.9842;0.0227
-0.0222;-0.0419;0.9830;0.9842;0.0234
-0.0225;-0.0426;0.9850;0.9862;0.0242
-0.0223;-0.0425;0.9865;0.9876;0.0250
-0.0220;-0.0424;0.9878;0.9889;0.0257
-0.0220;-0.0424;0.9878;0.9889;0.0265
-0.0220;-0.0422;0.9885;0.9897;0.0272
-0.0219;-0.0421;0.9878;0.9889;0.0281
-0.0211;-0.0427;0.9863;0.9875;0.0288
-0.0211;-0.0427;0.9863;0.9875;0.0296
-0.0204;-0.0432;0.9866;0.9877;0.0304
-0.0198;-0.0432;0.9882;0.9893;0.0311
-0.0183;-0.0431;0.9890;0.9901;0.0319
-0.0183;-0.0431;0.9890;0.9901;0.0326
-0.0172;-0.0427;0.9894;0.9905;0.0334
-0.0170;-0.0427;0.9885;0.9896;0.0341
-0.0177;-0.0427;0.9861;0.9872;0.0349
-0.0177;-0.0427;0.9861;0.9872;0.0356
-0.0189;-0.0431;0.9844;0.9855;0.0364
-0.0197;-0.0437;0.9834;0.9846;0.0372
-0.0197;-0.0435;0.9819;0.9831;0.0379
-0.0197;-0.0435;0.9819;0.9831;0.0387
-0.0189;-0.0436;0.9819;0.9831;0.0394
-0.0184;-0.0436;0.9835;0.9847;0.0402
-0.0187;-0.0424;0.9840;0.9851;0.0409
-0.0193;-0.0414;0.9838;0.9848;0.0417
-0.0193;-0.0414;0.9838;0.9848;0.0424
-0.0208;-0.0409;0.9839;0.9850;0.0432
-0.0219;-0.0409;0.9843;0.9853;0.0440
-0.0212;-0.0421;0.9846;0.9857;0.0448
-0.0212;-0.0421;0.9846;0.9857;0.0455
-0.0197;-0.0428;0.9840;0.9851;0.0463
-0.0186;-0.0432;0.9840;0.9851;0.0470
-0.0182;-0.0430;0.9840;0.9851;0.0478
-0.0182;-0.0430;0.9840;0.9851;0.0485
-0.0183;-0.0422;0.9839;0.9850;0.0493
-0.0189;-0.0416;0.9840;0.9851;0.0500
-0.0201;-0.0410;0.9844;0.9854;0.0508
-0.0201;-0.0410;0.9844;0.9854;0.0515
-0.0209;-0.0402;0.9856;0.9866;0.0523
-0.0204;-0.0388;0.9866;0.9875;0.0532
-0.0193;-0.0381;0.9868;0.9877;0.0540
-0.0189;-0.0383;0.9863;0.9873;0.0548
-0.0199;-0.0391;0.9855;0.9864;0.0567
-0.0199;-0.0391;0.9855;0.9864;0.0576
-0.0194;-0.0387;0.9860;0.9869;0.0583
-0.0183;-0.0388;0.9860;0.9869;0.0591
-0.0178;-0.0394;0.9855;0.9864;0.0599
-0.0178;-0.0394;0.9855;0.9864;0.0606
-0.0184;-0.0398;0.9860;0.9869;0.0614
-0.0192;-0.0398;0.9869;0.9879;0.0621
-0.0188;-0.0408;0.9869;0.9880;0.0629
-0.0188;-0.0408;0.9869;0.9880;0.0636
-0.0179;-0.0415;0.9863;0.9874;0.0644
-0.0181;-0.0409;0.9862;0.9872;0.0652
-0.0187;-0.0403;0.9868;0.9878;0.0659
-0.0187;-0.0403;0.9868;0.9878;0.0667
-0.0193;-0.0398;0.9874;0.9884;0.0674
-0.0200;-0.0397;0.9869;0.9879;0.0682
-0.0203;-0.0398;0.9863;0.9873;0.0690
-0.0203;-0.0400;0.9874;0.9884;0.0698
-0.0203;-0.0400;0.9874;0.9884;0.0706
-0.0199;-0.0405;0.9888;0.9898;0.0713
-0.0197;-0.0410;0.9878;0.9888;0.0721
-0.0197;-0.0411;0.9858;0.9869;0.0728
-0.0197;-0.0411;0.9858;0.9869;0.0736
-0.0190;-0.0409;0.9836;0.9847;0.0744
-0.0181;-0.0408;0.9832;0.9842;0.0752
-0.0181;-0.0409;0.9844;0.9854;0.0759
-0.0183;-0.0408;0.9845;0.9855;0.0768
-0.0183;-0.0408;0.9845;0.9855;0.0776
-0.0187;-0.0404;0.9839;0.9849;0.0784
-0.0187;-0.0396;0.9832;0.9841;0.0791
-0.0179;-0.0388;0.9830;0.9840;0.0801
-0.0177;-0.0383;0.9835;0.9844;0.0811
-0.0184;-0.0381;0.9834;0.9843;0.0821
-0.0189;-0.0391;0.9827;0.9836;0.0831
-0.0187;-0.0406;0.9823;0.9833;0.0839
-0.0188;-0.0420;0.9830;0.9841;0.0847
-0.0188;-0.0420;0.9830;0.9841;0.0855
-0.0190;-0.0417;0.9838;0.9848;0.0862
-0.0188;-0.0410;0.9840;0.9850;0.0870
-0.0184;-0.0408;0.9835;0.9845;0.0877
-0.0184;-0.0408;0.9835;0.9845;0.0885
-0.0183;-0.0406;0.9838;0.9848;0.0893
-0.0184;-0.0406;0.9852;0.9862;0.0900
-0.0181;-0.0404;0.9862;0.9872;0.0908
-0.0181;-0.0404;0.9862;0.9872;0.0915
-0.0176;-0.0405;0.9860;0.9870;0.0923
-0.0183;-0.0409;0.9856;0.9866;0.0931
-0.0199;-0.0408;0.9858;0.9869;0.0939
-0.0208;-0.0405;0.9852;0.9863;0.0947
-0.0208;-0.0405;0.9852;0.9863;0.0955
-0.0203;-0.0409;0.9843;0.9853;0.0962
-0.0192;-0.0413;0.9836;0.9847;0.0970
-0.0190;-0.0413;0.9830;0.9841;0.0977
-0.0190;-0.0413;0.9830;0.9841;0.0985
-0.0195;-0.0417;0.9829;0.9840;0.0992
-0.0204;-0.0421;0.9825;0.9837;0.1000
-0.0210;-0.0424;0.9819;0.9831;0.1007
-0.0210;-0.0424;0.9819;0.9831;0.1015
-0.0215;-0.0424;0.9825;0.9837;0.1022
-0.0216;-0.0416;0.9834;0.9845;0.1030
-0.0209;-0.0414;0.9832;0.9842;0.1038
-0.0209;-0.0414;0.9832;0.9842;0.1045
-0.0199;-0.0410;0.9832;0.9842;0.1053
-0.0195;-0.0403;0.9835;0.9845;0.1060
-0.0194;-0.0399;0.9834;0.9844;0.1068
-0.0194;-0.0399;0.9834;0.9844;0.1075
-0.0198;-0.0394;0.9836;0.9846;0.1083
-0.0217;-0.0385;0.9845;0.9855;0.1091
-0.0234;-0.0377;0.9854;0.9864;0.1098
-0.0234;-0.0377;0.9854;0.9864;0.1106
-0.0231;-0.0383;0.9855;0.9865;0.1113
-0.0225;-0.0392;0.9855;0.9865;0.1121
-0.0216;-0.0399;0.9857;0.9868;0.1128
-0.0216;-0.0399;0.9857;0.9868;0.1136
-0.0205;-0.0402;0.9869;0.9880;0.1145
-0.0193;-0.0404;0.9883;0.9893;0.1154
-0.0184;-0.0408;0.9879;0.9889;0.1162
-0.0184;-0.0405;0.9860;0.9870;0.1169
-0.0184;-0.0405;0.9860;0.9870;0.1177
-0.0184;-0.0408;0.9843;0.9853;0.1184
-0.0179;-0.0411;0.9830;0.9841;0.1192
-0.0181;-0.0413;0.9823;0.9833;0.1200
-0.0181;-0.0413;0.9823;0.9833;0.1207
-0.0189;-0.0422;0.9822;0.9833;0.1215
-0.0193;-0.0426;0.9825;0.9837;0.1222
-0.0189;-0.0426;0.9835;0.9846;0.1231
-0.0189;-0.0428;0.9839;0.9850;0.1239
-0.0189;-0.0428;0.9839;0.9850;0.1246
-0.0193;-0.0430;0.9843;0.9854;0.1254
-0.0192;-0.0426;0.9856;0.9867;0.1265
-0.0186;-0.0421;0.9863;0.9874;0.1274
-0.0190;-0.0424;0.9860;0.9871;0.1282
-0.0194;-0.0422;0.9850;0.9861;0.1289
-0.0194;-0.0422;0.9850;0.9861;0.1297
-0.0190;-0.0414;0.9843;0.9853;0.1305
-0.0189;-0.0405;0.9839;0.9849;0.1313
-0.0200;-0.0404;0.9839;0.9849;0.1320
-0.0203;-0.0404;0.9835;0.9846;0.1328
-0.0203;-0.0404;0.9835;0.9846;0.1337
-0.0192;-0.0404;0.9832;0.9842;0.1345
-0.0186;-0.0402;0.9828;0.9838;0.1352
-0.0184;-0.0396;0.9827;0.9836;0.1360
-0.0182;-0.0391;0.9829;0.9839;0.1368
-0.0182;-0.0391;0.9829;0.9839;0.1375
-0.0179;-0.0392;0.9840;0.9850;0.1385
