ax(g);ay(g);az(g);accRMS(g);time(s)
0.0000;0.0006;0.0000;0.0006;0.0000
0.0000;0.0007;-0.0001;0.0007;0.5037
-0.0004;0.0002;-0.0007;0.0009;0.7557
-0.0005;0.0018;0.0012;0.0023;1.0077
-0.0001;0.0002;-0.0010;0.0010;1.2597
-0.0004;0.0013;0.0007;0.0016;1.5117
-0.0005;0.0002;-0.0006;0.0008;1.7638
-0.0001;-0.0001;0.0005;0.0005;2.0158
-0.0010;0.0002;-0.0006;0.0012;2.2678
-0.0001;0.0007;0.0000;0.0007;2.5199
0.0002;0.0000;0.0002;0.0003;2.7719
-0.0005;0.0002;0.0017;0.0018;3.0239
-0.0004;0.0009;-0.0004;0.0010;3.2759
-0.0006;0.0010;0.0007;0.0014;3.5280
0.0001;0.0001;0.0002;0.0003;3.7800
0.0000;0.0002;0.0001;0.0003;4.0320
0.0004;0.0002;-0.0002;0.0005;4.2840
0.0000;0.0016;0.0024;0.0029;4.5360
-0.0007;0.0007;0.0005;0.0011;4.7880
-0.0011;0.0007;-0.0011;0.0017;5.0400
-0.0006;0.0005;0.0000;0.0008;5.2921
0.0000;0.0005;-0.0002;0.0005;5.5441
-0.0018;0.0005;-0.0007;0.0020;5.7961
-0.0006;0.0012;-0.0007;0.0015;6.0483
0.0001;0.0001;-0.0002;0.0003;6.3002
-0.0002;0.0011;-0.0011;0.0016;6.5531
-0.0010;-0.0004;0.0001;0.0011;6.8052
-0.0009;0.0009;0.0002;0.0012;7.0572
0.0001;0.0002;0.0013;0.0014;7.3093
0.0000;0.0006;0.0004;0.0007;7.5613
0.0002;0.0005;0.0009;0.0010;7.8133
-0.0002;0.0012;0.0005;0.0013;8.0653
-0.0004;0.0007;0.0015;0.0017;8.3173
0.0004;0.0001;-0.0005;0.0006;8.5693
-0.0005;0.0005;0.0013;0.0015;8.8214
-0.0010;0.0004;-0.0005;0.0012;9.0734
0.0000;0.0006;-0.0005;0.0008;9.3254
0.0004;0.0010;0.0006;0.0012;9.5775
-0.0009;0.0009;0.0002;0.0012;9.8295
-0.0002;0.0007;-0.0006;0.0010;10.0816
-0.0002;0.0000;0.0000;0.0002;10.3336
0.0002;0.0015;0.0002;0.0015;10.5857
-0.0011;-0.0005;-0.0002;0.0012;10.8377
0.0001;0.0012;0.0009;0.0015;11.0897
0.0002;0.0011;0.0009;0.0014;11.3418
0.0001;0.0001;-0.0001;0.0002;11.5938
-0.0001;0.0009;0.0000;0.0009;11.8458
0.0000;0.0010;-0.0005;0.0011;12.0979
-0.0002;0.0005;-0.0005;0.0007;12.3500
0.0000;0.0001;-0.0007;0.0007;12.6020
0.0000;0.0007;0.0010;0.0012;12.8541
-0.0002;0.0000;-0.0005;0.0005;13.1060
-0.0009;-0.0004;0.0002;0.0010;13.3581
-0.0004;0.0002;-0.0011;0.0012;13.6101
-0.0009;0.0009;0.0000;0.0012;13.8621
-0.0005;0.0010;-0.0002;0.0011;14.1142
-0.0010;0.0007;0.0011;0.0016;14.3663
-0.0002;0.0011;0.0005;0.0012;14.6183
-0.0004;0.0007;-0.0027;0.0028;14.8703
-0.0006;0.0010;0.0005;0.0013;15.1224
-0.0004;0.0004;0.0000;0.0005;15.3744
0.0000;-0.0005;0.0004;0.0006;15.6265
-0.0006;0.0011;0.0005;0.0013;15.8786
-0.0004;0.0000;-0.0009;0.0009;16.1306
-0.0011;0.0007;-0.0007;0.0015;16.3827
-0.0005;0.0007;0.0006;0.0011;16.6347
0.0000;0.0002;0.0000;0.0002;16.8868
