ax(m/s);ay(m/s);az(m/s);accRMS(m/s);time(s)
-0.1102;-0.4000;9.8447;9.8535;0.0000
-0.1090;-0.3904;9.8471;9.8555;0.5064
-0.1138;-0.3952;9.8459;9.8545;0.7600
-0.1054;-0.3964;9.8435;9.8521;1.0152
-0.1102;-0.3940;9.8531;9.8616;1.2705
-0.1078;-0.3952;9.8399;9.8485;1.5257
-0.1042;-0.3964;9.8567;9.8652;1.7792
-0.1126;-0.3940;9.8495;9.8580;2.0329
-0.1054;-0.4060;9.8663;9.8752;2.2882
-0.1042;-0.3952;9.8423;9.8508;2.5435
-0.1006;-0.3988;9.8495;9.8581;2.7986
-0.1066;-0.3988;9.8387;9.8474;3.0519
-0.1042;-0.3868;9.8447;9.8529;3.3053
-0.1126;-0.3952;9.8495;9.8581;3.5589
-0.1066;-0.4000;9.8507;9.8594;3.8145
-0.1066;-0.4024;9.8483;9.8571;4.0698
-0.1102;-0.4060;9.8411;9.8501;4.3251
-0.1006;-0.3940;9.8423;9.8507;4.5805
-0.1102;-0.3964;9.8387;9.8473;4.8359
-0.0982;-0.3952;9.8519;9.8603;5.0912
-0.1078;-0.3976;9.8531;9.8617;5.3466
-0.1042;-0.3988;9.8459;9.8545;5.6019
-0.1018;-0.3988;9.8495;9.8581;5.8573
-0.1066;-0.4084;9.8423;9.8514;6.1125
-0.1030;-0.4000;9.8567;9.8654;6.3678
-0.1066;-0.3988;9.8399;9.8486;6.6232
-0.1054;-0.3904;9.8531;9.8614;6.8784
-0.1150;-0.3976;9.8459;9.8546;7.1337
-0.0982;-0.3940;9.8459;9.8543;7.3887
-0.1066;-0.3988;9.8507;9.8594;7.6421
-0.1114;-0.3964;9.8507;9.8593;7.8955
-0.0994;-0.4048;9.8399;9.8488;8.1493
-0.0994;-0.4060;9.8447;9.8536;8.4048
-0.1090;-0.3988;9.8363;9.8450;8.6600
-0.1114;-0.3976;9.8579;9.8665;9.0474
-0.1078;-0.3940;9.8459;9.8544;9.3356
-0.1090;-0.4012;9.8292;9.8379;9.5892
-0.1042;-0.3856;9.8375;9.8456;9.8427
-0.0994;-0.3976;9.8555;9.8640;10.0961
-0.1102;-0.3940;9.8387;9.8472;10.3495
-0.1066;-0.3976;9.8543;9.8629;10.6029
