ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0110;-0.0402;1.0042;1.0050;0.0000
-0.0107;-0.0405;1.0051;1.0060;0.5068
-0.0104;-0.0399;1.0055;1.0063;0.7603
-0.0103;-0.0415;1.0039;1.0048;1.0155
-0.0101;-0.0398;1.0054;1.0062;1.2708
-0.0111;-0.0405;1.0056;1.0065;1.5260
-0.0098;-0.0396;1.0049;1.0057;1.7813
-0.0110;-0.0409;1.0056;1.0065;2.0364
-0.0109;-0.0406;1.0046;1.0055;2.2916
-0.0105;-0.0406;1.0045;1.0054;2.5468
-0.0107;-0.0409;1.0043;1.0052;2.8021
-0.0101;-0.0402;1.0042;1.0050;3.0573
-0.0109;-0.0399;1.0028;1.0037;3.3125
-0.0114;-0.0402;1.0049;1.0057;3.5679
-0.0112;-0.0411;1.0046;1.0055;3.8231
-0.0101;-0.0405;1.0051;1.0060;4.0783
-0.0094;-0.0394;1.0026;1.0034;4.3335
-0.0107;-0.0400;1.0032;1.0040;4.5893
-0.0106;-0.0404;1.0042;1.0050;4.8430
-0.0112;-0.0408;1.0043;1.0052;5.0965
-0.0104;-0.0405;1.0043;1.0051;5.3500
-0.0103;-0.0409;1.0031;1.0039;5.6052
-0.0110;-0.0406;1.0050;1.0059;5.8605
-0.0105;-0.0415;1.0056;1.0065;6.1159
-0.0114;-0.0402;1.0038;1.0047;6.3711
-0.0110;-0.0405;1.0043;1.0051;6.6263
-0.0101;-0.0411;1.0049;1.0058;6.8816
-0.0101;-0.0405;1.0042;1.0050;7.1368
-0.0101;-0.0408;1.0044;1.0053;7.3920
-0.0107;-0.0408;1.0049;1.0058;7.6473
-0.0106;-0.0409;1.0049;1.0058;7.9027
-0.0110;-0.0397;1.0051;1.0060;8.1580
-0.0099;-0.0406;1.0054;1.0062;8.4132
-0.0110;-0.0406;1.0049;1.0058;8.6687
-0.0105;-0.0411;1.0028;1.0037;8.9239
-0.0109;-0.0398;1.0034;1.0043;9.1792
-0.0101;-0.0404;1.0042;1.0050;9.4345
-0.0109;-0.0410;1.0049;1.0058;9.6897
-0.0115;-0.0410;1.0032;1.0041;9.9450
-0.0103;-0.0409;1.0037;1.0045;10.2001
-0.0105;-0.0409;1.0046;1.0055;10.4553
-0.0106;-0.0400;1.0060;1.0068;10.7106
-0.0105;-0.0399;1.0044;1.0052;10.9658
-0.0104;-0.0411;1.0048;1.0057;11.2212
-0.0114;-0.0408;1.0046;1.0055;11.4764
-0.0107;-0.0398;1.0028;1.0037;11.7316
-0.0101;-0.0406;1.0033;1.0042;11.9868
-0.0107;-0.0403;1.0040;1.0049;12.2421
-0.0103;-0.0408;1.0050;1.0059;12.4973
-0.0109;-0.0402;1.0039;1.0048;12.7527
-0.0110;-0.0398;1.0059;1.0067;13.0080
-0.0103;-0.0404;1.0050;1.0059;13.2632
-0.0112;-0.0410;1.0044;1.0053;13.5185
-0.0106;-0.0397;1.0052;1.0061;13.7737
-0.0103;-0.0402;1.0052;1.0061;14.0290
-0.0110;-0.0410;1.0040;1.0049;14.2843
-0.0110;-0.0405;1.0045;1.0054;14.5395
-0.0107;-0.0405;1.0037;1.0045;14.7948
-0.0101;-0.0403;1.0054;1.0062;15.0501
-0.0100;-0.0409;1.0049;1.0058;15.3054
-0.0101;-0.0406;1.0039;1.0048;15.5608
-0.0095;-0.0400;1.0038;1.0046;15.8161
-0.0105;-0.0400;1.0042;1.0050;16.0715
-0.0106;-0.0391;1.0055;1.0063;16.3268
-0.0112;-0.0411;1.0049;1.0058;16.5820
-0.0105;-0.0410;1.0052;1.0061;16.8372
-0.0100;-0.0397;1.0049;1.0057;17.0953
-0.0116;-0.0402;1.0038;1.0047;17.3506
-0.0109;-0.0405;1.0045;1.0054;17.6058
-0.0105;-0.0403;1.0049;1.0057;17.8610
-0.0099;-0.0404;1.0051;1.0060;18.1163
-0.0101;-0.0399;1.0037;1.0045;18.3715
-0.0105;-0.0393;1.0051;1.0060;18.6267
-0.0116;-0.0399;1.0049;1.0057;18.8820
-0.0109;-0.0411;1.0050;1.0059;19.1373
-0.0107;-0.0410;1.0052;1.0061;19.3925
-0.0107;-0.0408;1.0038;1.0047;19.6478
-0.0101;-0.0402;1.0049;1.0057;19.9031
