ax(g);ay(g);az(g);accRMS(g);time(s)
0.0034;-0.0286;0.9377;0.9382;0.0000
0.0044;-0.0278;0.9357;0.9361;0.5033
0.0048;-0.0293;0.9382;0.9387;0.7553
0.0044;-0.0282;0.9385;0.9389;1.0072
0.0039;-0.0284;0.9368;0.9372;1.2592
0.0049;-0.0281;0.9381;0.9385;1.5111
0.0048;-0.0280;0.9360;0.9365;1.7631
0.0042;-0.0293;0.9366;0.9371;2.0151
0.0037;-0.0281;0.9376;0.9380;2.2670
0.0045;-0.0284;0.9387;0.9392;2.5189
0.0050;-0.0273;0.9385;0.9389;2.7708
0.0048;-0.0270;0.9357;0.9361;3.0228
0.0048;-0.0278;0.9379;0.9383;3.2747
0.0046;-0.0284;0.9370;0.9375;3.5266
0.0033;-0.0283;0.9366;0.9371;3.7785
0.0048;-0.0291;0.9377;0.9382;4.0305
0.0052;-0.0278;0.9376;0.9380;4.2824
0.0043;-0.0280;0.9353;0.9357;4.5343
0.0051;-0.0278;0.9381;0.9385;4.7863
0.0040;-0.0289;0.9369;0.9373;5.0383
0.0049;-0.0286;0.9380;0.9384;5.2902
0.0049;-0.0277;0.9380;0.9384;5.5422
0.0038;-0.0283;0.9366;0.9371;5.7942
0.0045;-0.0293;0.9370;0.9375;6.0462
0.0033;-0.0283;0.9366;0.9371;6.2981
0.0039;-0.0275;0.9375;0.9379;6.5501
0.0048;-0.0293;0.9364;0.9369;6.8020
0.0044;-0.0287;0.9376;0.9381;7.0539
0.0052;-0.0283;0.9379;0.9383;7.3059
0.0048;-0.0286;0.9370;0.9375;7.5579
0.0038;-0.0277;0.9369;0.9373;7.8098
0.0048;-0.0284;0.9376;0.9381;8.0617
0.0045;-0.0284;0.9368;0.9372;8.3136
0.0038;-0.0277;0.9353;0.9357;8.5656
0.0049;-0.0289;0.9384;0.9388;8.8175
0.0040;-0.0281;0.9377;0.9382;9.0694
0.0043;-0.0291;0.9362;0.9366;9.3213
0.0042;-0.0275;0.9369;0.9373;9.5733
0.0044;-0.0282;0.9371;0.9376;9.8252
0.0040;-0.0288;0.9392;0.9397;10.0771
0.0050;-0.0291;0.9362;0.9366;10.3290
0.0050;-0.0281;0.9370;0.9374;10.5810
0.0040;-0.0280;0.9387;0.9391;10.8330
0.0039;-0.0288;0.9371;0.9376;11.0850
0.0038;-0.0281;0.9368;0.9372;11.3369
0.0044;-0.0282;0.9368;0.9372;11.5890
0.0046;-0.0280;0.9379;0.9383;11.8410
0.0037;-0.0287;0.9370;0.9375;12.0930
0.0037;-0.0292;0.9366;0.9371;12.3449
0.0040;-0.0281;0.9366;0.9371;12.5969
0.0045;-0.0284;0.9380;0.9384;12.8488
0.0042;-0.0283;0.9366;0.9371;13.1007
0.0054;-0.0286;0.9375;0.9380;13.3526
0.0049;-0.0282;0.9374;0.9378;13.6045
0.0038;-0.0289;0.9359;0.9364;13.8564
0.0034;-0.0282;0.9376;0.9381;14.1083
0.0038;-0.0271;0.9382;0.9386;14.3602
0.0040;-0.0271;0.9390;0.9394;14.6121
0.0052;-0.0275;0.9368;0.9372;14.8641
0.0042;-0.0277;0.9373;0.9377;15.1160
0.0038;-0.0288;0.9374;0.9378;15.3680
0.0037;-0.0284;0.9377;0.9382;15.6199
0.0043;-0.0281;0.9380;0.9384;15.8720
0.0038;-0.0277;0.9380;0.9384;16.1239
0.0045;-0.0275;0.9362;0.9366;16.3758
0.0049;-0.0283;0.9373;0.9377;16.6278
0.0043;-0.0281;0.9369;0.9373;16.8797
0.0042;-0.0278;0.9366;0.9371;17.1316
0.0055;-0.0282;0.9369;0.9373;17.3835
0.0044;-0.0284;0.9366;0.9371;17.6354
0.0052;-0.0286;0.9365;0.9370;17.8873
0.0049;-0.0286;0.9359;0.9364;18.1393
0.0055;-0.0280;0.9370;0.9374;18.3912
0.0052;-0.0291;0.9363;0.9367;18.6431
0.0046;-0.0281;0.9366;0.9371;18.8950
0.0040;-0.0288;0.9387;0.9392;19.1476
0.0045;-0.0291;0.9353;0.9358;19.3996
0.0044;-0.0282;0.9388;0.9393;19.6515
0.0044;-0.0281;0.9371;0.9376;19.9035
0.0044;-0.0288;0.9364;0.9369;20.1554
0.0039;-0.0289;0.9387;0.9392;20.4073
0.0045;-0.0286;0.9354;0.9359;20.6592
0.0049;-0.0292;0.9358;0.9363;20.9114
0.0037;-0.0276;0.9373;0.9377;21.1635
0.0043;-0.0288;0.9369;0.9373;21.4155
0.0039;-0.0287;0.9368;0.9372;21.6675
0.0046;-0.0281;0.9365;0.9370;21.9195
0.0045;-0.0283;0.9385;0.9389;22.1715
0.0040;-0.0282;0.9382;0.9387;22.4235
0.0043;-0.0295;0.9371;0.9376;22.6755
0.0046;-0.0287;0.9365;0.9370;22.9280
0.0054;-0.0288;0.9380;0.9384;23.1799
0.0049;-0.0281;0.9368;0.9372;23.4319
0.0040;-0.0284;0.9366;0.9371;23.6839
0.0045;-0.0277;0.9373;0.9377;23.9360
0.0042;-0.0283;0.9380;0.9384;24.1880
0.0034;-0.0284;0.9369;0.9373;24.4402
0.0050;-0.0286;0.9379;0.9383;24.6922
0.0038;-0.0283;0.9374;0.9378;24.9442
0.0043;-0.0289;0.9376;0.9381;25.1964
0.0045;-0.0286;0.9380;0.9384;25.4484
0.0048;-0.0289;0.9373;0.9377;25.7005
0.0040;-0.0284;0.9369;0.9373;25.9525
0.0052;-0.0284;0.9373;0.9377;26.2047
0.0037;-0.0282;0.9370;0.9374;26.4567
0.0038;-0.0283;0.9360;0.9365;26.7088
0.0035;-0.0282;0.9377;0.9382;26.9608
0.0046;-0.0282;0.9362;0.9366;27.2136
0.0052;-0.0284;0.9376;0.9381;27.4657
0.0046;-0.0281;0.9374;0.9378;27.7177
0.0050;-0.0284;0.9379;0.9383;27.9698
0.0043;-0.0281;0.9363;0.9367;28.2218
0.0040;-0.0286;0.9375;0.9379;28.4739
0.0035;-0.0288;0.9379;0.9383;28.7259
0.0039;-0.0284;0.9375;0.9379;28.9780
0.0042;-0.0282;0.9371;0.9376;29.2300
0.0042;-0.0281;0.9377;0.9382;29.4819
0.0044;-0.0283;0.9386;0.9390;29.7339
0.0046;-0.0280;0.9370;0.9374;29.9860
0.0044;-0.0294;0.9381;0.9386;30.2380
